round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.8051949353048256,-1.3199690500789403,"{'J': 0.13113553113553114, 'F': 0.8688644688644689}","{'J': 0.38852258852258853, 'F': 0.6114774114774115}",4.8,5.8
2,J,J,-1.054648102833816,-1.3914159189427944,"{'J': 0.7577867350677904, 'F': 0.2422132649322096}","{'J': 0.6687835857352222, 'F': 0.3312164142647777}",4.6,5.6
3,J,J,-1.5167102852966825,-1.8226746241326015,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",4.6,6.2
4,F,F,-2.129043756803256,-2.388369673922113,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.44553004396678064, 'F': 0.5544699560332194}",5.4,5.4
5,J,J,-2.518778041408083,-2.5794883961595456,"{'J': 0.6653639472398633, 'F': 0.3346360527601368}","{'J': 0.566056166056166, 'F': 0.43394383394383396}",6.4,5.2
6,J,F,-3.0413603605707635,-2.9850760126900053,"{'J': 0.5466536394723986, 'F': 0.45334636052760136}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",5.6,5.6
7,J,F,-3.580364566241636,-3.4688909631716225,"{'J': 0.5079365079365079, 'F': 0.49206349206349204}","{'J': 0.48034188034188036, 'F': 0.5196581196581197}",4.6,5.8
8,F,F,-4.1043268867346185,-3.992376219126949,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",5.0,5.2
9,J,J,-4.536726798051691,-4.24304677040494,"{'J': 0.6297020029311187, 'F': 0.3702979970688813}","{'J': 0.5388373229115779, 'F': 0.46116267708842207}",4.6,5.8
10,J,F,-5.120537168867436,-4.702049939520469,"{'J': 0.5196581196581197, 'F': 0.48034188034188036}","{'J': 0.4572545188080117, 'F': 0.5427454811919883}",5.6,5.6
