round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,-0.4041494907047175,0.14837736625396683,"{'J': 0.8499938972293422, 'F': 0.15000610277065787}","{'J': 0.57373046875, 'F': 0.42626953125}",3.6,3.4
2,F,F,-1.4393232156414526,-0.7415157685451049,"{'J': 0.34163614163614164, 'F': 0.6583638583638584}","{'J': 0.26899584656731, 'F': 0.73100415343269}",4.0,3.6
3,F,F,-2.1495590109076264,-1.2671379620808512,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",3.4,2.4
4,J,F,-2.6983758027244478,-1.5534636772882173,"{'J': 0.60400390625, 'F': 0.39599609375}","{'J': 0.47275836794527243, 'F': 0.5272416320547276}",4.2,3.2
5,F,F,-3.323937018906084,-2.0703253641547894,"{'J': 0.49206349206349204, 'F': 0.5079365079365079}","{'J': 0.43771372740595993, 'F': 0.5622862725940401}",1.8,2.4
6,J,J,-3.8022964667295263,-2.417002295586968,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.5117302052785924, 'F': 0.48826979472140764}",4.0,3.4
7,F,F,-4.462878682712205,-2.9925613012104963,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.4224285365257757, 'F': 0.5775714634742243}",3.4,2.8
8,J,F,-4.970246263803411,-3.4378717115223223,"{'J': 0.5272416320547276, 'F': 0.47275836794527243}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",3.2,3.4
9,F,F,-5.594876350499527,-3.9461772625390643,"{'J': 0.49608993157380255, 'F': 0.5039100684261975}","{'J': 0.43792766373411535, 'F': 0.5620723362658846}",2.0,3.6
10,J,F,-6.148324612474543,-4.390197205459569,"{'J': 0.5272416320547276, 'F': 0.47275836794527243}","{'J': 0.4725274725274725, 'F': 0.5274725274725275}",4.4,3.4
