round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.7772401102791938,-0.5263908700151855,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.3629702002931119, 'F': 0.6370297997068881}",2.8,3.2
2,J,F,-1.2772401102791937,-0.8715300981539251,"{'J': 0.5774303859306302, 'F': 0.4225696140693698}","{'J': 0.5, 'F': 0.5}",1.8,3.4
3,F,F,-1.8552277308657397,-1.379901680975923,"{'J': 0.495970695970696, 'F': 0.504029304029304}","{'J': 0.46116267708842207, 'F': 0.5388373229115779}",1.0,2.8
4,J,J,-2.3107228151354025,-1.7811481697399678,"{'J': 0.550561797752809, 'F': 0.449438202247191}","{'J': 0.5234375, 'F': 0.4765625}",1.8,3.0
5,F,F,-2.9169594014250126,-2.3873847560295776,"{'J': 0.449438202247191, 'F': 0.550561797752809}","{'J': 0.449438202247191, 'F': 0.550561797752809}",3.2,2.0
6,J,J,-3.39419505227415,-2.810369887736918,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.5118437118437118, 'F': 0.48815628815628814}",1.8,3.2
7,F,F,-4.00949467098052,-3.4334858230041085,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.44553004396678064, 'F': 0.5544699560332194}",3.0,2.8
8,J,J,-4.480068987052821,-3.81855391044915,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.515625, 'F': 0.484375}",1.4,1.4
9,F,F,-5.101986883518837,-4.417295569376447,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.44175824175824174, 'F': 0.5582417582417583}",2.0,1.8
10,J,F,-5.617241344290034,-4.838739071445406,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.49206349206349204, 'F': 0.5079365079365079}",2.0,2.2
