round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.5474933677230281,-0.515754853502227,"{'J': 0.49230393354507695, 'F': 0.507696066454923}","{'J': 0.4764346764346764, 'F': 0.5235653235653236}",5.2,5.0
2,J,J,-0.934702261526939,-0.8421126730696216,"{'J': 0.5925744992672203, 'F': 0.40742550073277967}","{'J': 0.5621489621489622, 'F': 0.43785103785103785}",5.2,4.8
3,F,F,-1.653415147991216,-1.634722414526614,"{'J': 0.36656891495601174, 'F': 0.6334310850439883}","{'J': 0.4035173424523693, 'F': 0.5964826575476306}",5.6,5.0
4,F,F,-2.1780256462152003,-2.2135834318923955,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",5.6,6.0
5,F,J,-2.6377870317830374,-2.7595818778908416,"{'J': 0.47653958944281527, 'F': 0.5234604105571847}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",6.0,5.0
6,F,F,-3.2475310803495887,-3.438695735934677,"{'J': 0.4147532975085491, 'F': 0.5852467024914509}","{'J': 0.449438202247191, 'F': 0.550561797752809}",5.0,6.8
7,J,J,-3.693692018231338,-3.908515588426736,"{'J': 0.5155142926948448, 'F': 0.48448570730515517}","{'J': 0.52734375, 'F': 0.47265625}",4.4,5.4
8,F,F,-4.296334584429469,-4.617948603508069,"{'J': 0.39995113608600047, 'F': 0.6000488639139995}","{'J': 0.45334636052760136, 'F': 0.5466536394723986}",5.0,6.0
9,F,J,-4.756715764722695,-5.1330381560273795,"{'J': 0.49230393354507695, 'F': 0.507696066454923}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",6.6,6.6
10,F,F,-5.27295913803912,-5.680073551340322,"{'J': 0.4766674810652333, 'F': 0.5233325189347666}","{'J': 0.49206349206349204, 'F': 0.5079365079365079}",5.6,5.625
