round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.7529239907354219,-0.8890293010468877,"{'J': 0.3243771372740596, 'F': 0.6756228627259404}","{'J': 0.3924297924297924, 'F': 0.6075702075702075}",4.2,5.0
2,J,J,-1.1864414095190077,-1.2839193077640347,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.53515625, 'F': 0.46484375}",5.2,4.0
3,F,F,-1.7271360706143528,-1.8554174461324395,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.48034188034188036, 'F': 0.5196581196581197}",4.4,6.4
4,F,F,-2.259134084810169,-2.3874154603282562,"{'J': 0.48424908424908425, 'F': 0.5157509157509158}","{'J': 0.48424908424908425, 'F': 0.5157509157509158}",5.0,5.4
5,F,J,-2.7276322533083377,-2.8874154603282562,"{'J': 0.5, 'F': 0.5}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",6.4,4.8
6,F,J,-3.2194486216455953,-3.4183190221138116,"{'J': 0.48448570730515517, 'F': 0.5155142926948448}","{'J': 0.504029304029304, 'F': 0.495970695970696}",5.8,4.8
7,F,F,-3.75988064736023,-3.989808264417745,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.48046875, 'F': 0.51953125}",4.4,6.0
8,F,J,-4.228260531365114,-4.513125572110052,"{'J': 0.48815628815628814, 'F': 0.5118437118437118}","{'J': 0.515625, 'F': 0.484375}",4.4,4.4
9,F,J,-4.72026392727476,-5.060072115150345,"{'J': 0.4764346764346764, 'F': 0.5235653235653236}","{'J': 0.50390625, 'F': 0.49609375}",4.8,5.4
10,F,F,-5.228289252525188,-5.614768204510228,"{'J': 0.47275836794527243, 'F': 0.5272416320547276}","{'J': 0.49609375, 'F': 0.50390625}",5.4,6.4
