round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,-0.7749385888975315,-0.33987764447289326,"{'J': 0.5697532372343025, 'F': 0.4302467627656975}","{'J': 0.3522227650219834, 'F': 0.6477772349780166}",1.8,1.8
2,F,F,-1.4869185856813385,-1.634681748994511,"{'J': 0.13115756020046448, 'F': 0.8688424397995355}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",2.8,3.6
3,F,F,-1.9946693835439695,-2.1815693273968044,"{'J': 0.47664465639520665, 'F': 0.5233553436047933}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",2.0,2.0
4,J,J,-2.4795179878057336,-2.6505295171588354,"{'J': 0.5156402737047898, 'F': 0.4843597262952102}","{'J': 0.507696066454923, 'F': 0.49230393354507695}",2.6,2.0
5,F,F,-3.116109623211032,-3.355513922471315,"{'J': 0.4035173424523693, 'F': 0.5964826575476306}","{'J': 0.43771372740595993, 'F': 0.5622862725940401}",3.0,3.2
6,J,F,-3.646774236924596,-3.831689540238005,"{'J': 0.5117302052785924, 'F': 0.48826979472140764}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",2.2,3.2
7,F,F,-4.280436273812439,-4.356699655570701,"{'J': 0.48826979472140764, 'F': 0.5117302052785924}","{'J': 0.43394383394383396, 'F': 0.566056166056166}",3.4,1.0
8,J,F,-4.842958069415104,-4.848888081743979,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.4686202686202686, 'F': 0.5313797313797314}",2.2,1.6
9,F,F,-5.496599771094641,-5.440961251784132,"{'J': 0.4571219154654288, 'F': 0.5428780845345712}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",1.6,1.8
10,J,F,-6.057447610740777,-5.8928425632113575,"{'J': 0.5233325189347666, 'F': 0.4766674810652333}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",2.6,3.2
