round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,-0.9720716996730675,0.6435124990083466,"{'J': 0.9086468001954079, 'F': 0.09135319980459208}","{'J': 0.10085470085470086, 'F': 0.8991452991452992}",2.8,1.8
2,F,F,-1.9310608453740934,-0.5750523977918486,"{'J': 0.19443087445041524, 'F': 0.8055691255495847}","{'J': 0.32421875, 'F': 0.67578125}",2.2,4.6
3,F,F,-2.4955488050002845,-1.4432696666044555,"{'J': 0.3207915954067921, 'F': 0.679208404593208}","{'J': 0.47265625, 'F': 0.52734375}",3.0,2.2
4,F,J,-2.8736309085342686,-2.0311425655667534,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.5582417582417583, 'F': 0.44175824175824174}",3.2,1.0
5,F,F,-3.390465758314435,-2.68721318720818,"{'J': 0.4225696140693698, 'F': 0.5774303859306302}","{'J': 0.4921875, 'F': 0.5078125}",4.2,1.8
6,F,J,-3.8434018846880615,-3.1950829216404144,"{'J': 0.495970695970696, 'F': 0.504029304029304}","{'J': 0.5234375, 'F': 0.4765625}",2.0,3.8
7,F,J,-4.295605410329087,-3.7334776865976793,"{'J': 0.48034188034188036, 'F': 0.5196581196581197}","{'J': 0.5234375, 'F': 0.4765625}",2.2,4.2
8,F,J,-4.769991286082819,-4.394228074460916,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.5118437118437118, 'F': 0.48815628815628814}",3.2,2.8
9,F,F,-5.269991286082819,-5.07184840184914,"{'J': 0.4111898363058881, 'F': 0.5888101636941119}","{'J': 0.5, 'F': 0.5}",3.2,3.6
10,F,F,-5.795330984254181,-5.713007150801683,"{'J': 0.4302467627656975, 'F': 0.5697532372343025}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",3.2,3.0
