round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,-0.2421600189041326,-0.08279672668553897,"{'J': 0.7520449273592968, 'F': 0.2479550726407032}","{'J': 0.67236328125, 'F': 0.32763671875}",7.8,8.2
2,J,J,-0.38573811395622737,-0.1910163003074755,"{'J': 0.7577867350677904, 'F': 0.2422132649322096}","{'J': 0.7401074743527113, 'F': 0.2598925256472887}",8.2,8.2
3,J,J,-0.5534050233915785,-0.46972739543283537,"{'J': 0.6370297997068881, 'F': 0.3629702002931119}","{'J': 0.6925518925518925, 'F': 0.30744810744810747}",7.8,8.6
4,J,J,-0.741033800864106,-0.7859638499505399,"{'J': 0.6114774114774115, 'F': 0.38852258852258853}","{'J': 0.67578125, 'F': 0.32421875}",8.4,8.0
5,J,J,-0.937014751337244,-1.1193470249352773,"{'J': 0.6002442002442002, 'F': 0.3997557997557998}","{'J': 0.6689453125, 'F': 0.3310546875}",7.8,7.8
6,J,J,-1.1412088532602835,-1.5081565114737017,"{'J': 0.566056166056166, 'F': 0.43394383394383396}","{'J': 0.6583638583638584, 'F': 0.34163614163614164}",8.0,8.6
7,J,J,-1.2782366691943494,-1.8655998493857895,"{'J': 0.589010989010989, 'F': 0.41098901098901097}","{'J': 0.69921875, 'F': 0.30078125}",7.8,8.4
8,J,J,-1.3908277745553619,-2.116573399528856,"{'J': 0.6619443087445042, 'F': 0.33805569125549584}","{'J': 0.7311355311355311, 'F': 0.26886446886446885}",8.8,7.6
9,J,J,-1.5182144991793602,-2.38563086181773,"{'J': 0.6477772349780166, 'F': 0.3522227650219834}","{'J': 0.7186126038104543, 'F': 0.28138739618954567}",7.8,7.6
10,J,J,-1.6487351753766364,-2.6434866357458047,"{'J': 0.654945054945055, 'F': 0.34505494505494505}","{'J': 0.7186126038104543, 'F': 0.28138739618954567}",8.0,7.8
