round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.7265539915508288,-0.9845554574682487,"{'J': 0.2782799902272172, 'F': 0.7217200097727828}","{'J': 0.4072807231859272, 'F': 0.5927192768140728}",2.8,2.4
2,J,J,-1.1288935795596335,-1.4177363076930298,"{'J': 0.5351906158357771, 'F': 0.46480938416422285}","{'J': 0.5506112469437653, 'F': 0.4493887530562347}",3.0,1.8
3,F,F,-1.8368299384410252,-2.285334829398521,"{'J': 0.331214861891958, 'F': 0.6687851381080421}","{'J': 0.41104594330400784, 'F': 0.5889540566959922}",2.0,2.0
4,F,F,-2.370027188400962,-2.9272884402053276,"{'J': 0.43010752688172044, 'F': 0.5698924731182796}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",3.4,3.0
5,F,J,-2.837308477329323,-3.534538226589817,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.5155142926948448, 'F': 0.48448570730515517}",1.0,1.4
6,F,F,-3.3616047841402636,-4.129198569560054,"{'J': 0.45321280234546785, 'F': 0.5467871976545321}","{'J': 0.48839482042511606, 'F': 0.5116051795748839}",2.0,2.0
7,F,F,-3.9109940389249944,-4.7486790151025104,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",3.2,1.0
8,F,F,-4.426985987422214,-5.327216773519105,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.49230393354507695, 'F': 0.507696066454923}",2.0,2.4
9,F,J,-4.9192057551735715,-5.881493712049841,"{'J': 0.47275836794527243, 'F': 0.5272416320547276}","{'J': 0.5037869533349622, 'F': 0.49621304666503785}",3.6,3.2
10,F,F,-5.468054119393463,-6.477251433709263,"{'J': 0.45321280234546785, 'F': 0.5467871976545321}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",2.0,3.4
