round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,-0.4554755567747488,0.05290102251545878,"{'J': 0.7853390348197923, 'F': 0.2146609651802077}","{'J': 0.5311507451746885, 'F': 0.46884925482531153}",4.8,4.6
2,F,F,-1.3019739990136996,-0.8427778630340115,"{'J': 0.32763254336672365, 'F': 0.6723674566332764}","{'J': 0.3522227650219834, 'F': 0.6477772349780166}",5.6,4.0
3,J,J,-1.6508146990716628,-1.13913141136379,"{'J': 0.6112875641338871, 'F': 0.38871243586611287}","{'J': 0.5850439882697948, 'F': 0.4149560117302053}",6.4,4.4
4,F,F,-2.401342098729663,-1.8371863196508544,"{'J': 0.4111898363058881, 'F': 0.5888101636941119}","{'J': 0.3849535906204201, 'F': 0.6150464093795799}",5.6,4.0
5,J,J,-2.670399561018537,-1.9645730442748528,"{'J': 0.7186126038104543, 'F': 0.28138739618954567}","{'J': 0.6477772349780166, 'F': 0.3522227650219834}",4.0,3.8
6,F,F,-3.3406661276742815,-2.5654698014533133,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.41866145578895947, 'F': 0.5813385442110406}",6.2,4.2
7,J,J,-3.6301714046907865,-2.776446597479828,"{'J': 0.6653639472398633, 'F': 0.3346360527601368}","{'J': 0.626099706744868, 'F': 0.37390029325513197}",4.2,4.4
8,F,F,-4.178107674351781,-3.3322010933807444,"{'J': 0.47275836794527243, 'F': 0.5272416320547276}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",5.2,5.6
9,J,J,-4.480604970791433,-3.5347380559567885,"{'J': 0.6687835857352222, 'F': 0.3312164142647777}","{'J': 0.6188034188034188, 'F': 0.3811965811965812}",4.8,4.2
10,J,J,-4.965930936901074,-3.9421488760314785,"{'J': 0.5466536394723986, 'F': 0.45334636052760136}","{'J': 0.507696066454923, 'F': 0.49230393354507695}",5.2,5.4
