round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-1.0422161069633944,-1.6461223390784534,"{'J': 0.015429696442470582, 'F': 0.9845703035575294}","{'J': 0.3173828125, 'F': 0.6826171875}",3.2,4.6
2,F,F,-1.6572142955879567,-2.2689349355174233,"{'J': 0.44175824175824174, 'F': 0.5582417582417583}","{'J': 0.4456654456654457, 'F': 0.5543345543345544}",3.2,1.0
3,F,F,-2.2555913839503896,-2.8826738536041674,"{'J': 0.4456654456654457, 'F': 0.5543345543345544}","{'J': 0.45334636052760136, 'F': 0.5466536394723986}",4.0,2.8
4,J,J,-2.732366605256861,-3.3440739985980623,"{'J': 0.51953125, 'F': 0.48046875}","{'J': 0.5118437118437118, 'F': 0.48815628815628814}",3.2,1.8
5,F,F,-3.3343303212131383,-4.038277310609542,"{'J': 0.4072265625, 'F': 0.5927734375}","{'J': 0.45334636052760136, 'F': 0.5466536394723986}",3.0,2.0
6,F,F,-3.8749187001193883,-4.617928189515792,"{'J': 0.4609375, 'F': 0.5390625}","{'J': 0.48046875, 'F': 0.51953125}",2.4,3.0
7,F,F,-4.400389225176926,-5.313030704592148,"{'J': 0.4035688095820093, 'F': 0.5964311904179908}","{'J': 0.4883848045914184, 'F': 0.5116151954085816}",5.0,2.0
8,F,J,-4.844841834815333,-5.85102907834001,"{'J': 0.48046875, 'F': 0.51953125}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",1.8,2.0
9,F,F,-5.369819511429551,-6.4612592433332425,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",1.0,2.8
10,J,J,-5.83844461038432,-6.953327565731235,"{'J': 0.504029304029304, 'F': 0.495970695970696}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",3.2,2.4
