round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-0.5086048267027757,-0.7014691190852868,"{'J': 0.39965778538254704, 'F': 0.600342214617453}","{'J': 0.49608993157380255, 'F': 0.5039100684261975}",3.6,4.0
2,J,J,-0.8219832924806265,-0.9633849530362933,"{'J': 0.6334067009048667, 'F': 0.3665932990951333}","{'J': 0.6076753849914447, 'F': 0.39232461500855537}",4.2,1.8
3,F,J,-1.3137378365254064,-1.5717349944810115,"{'J': 0.4456123197262283, 'F': 0.5543876802737717}","{'J': 0.5039100684261975, 'F': 0.49608993157380255}",3.8,1.0
4,F,F,-1.8216661050637135,-2.1656637516584585,"{'J': 0.45321280234546785, 'F': 0.5467871976545321}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",2.6,2.0
5,F,J,-2.2419078947998656,-2.710554171433418,"{'J': 0.47664465639520665, 'F': 0.5233553436047933}","{'J': 0.5389689714146103, 'F': 0.4610310285853897}",1.4,4.8
6,F,J,-2.700828276151038,-3.309797730934095,"{'J': 0.4493887530562347, 'F': 0.5506112469437653}","{'J': 0.5195503421309873, 'F': 0.4804496578690127}",1.8,4.8
7,F,J,-3.1926953959194524,-3.956843840461388,"{'J': 0.426197458455523, 'F': 0.5738025415444771}","{'J': 0.5037869533349622, 'F': 0.49621304666503785}",4.2,3.2
8,F,F,-3.726162218147981,-4.598815061516897,"{'J': 0.43010752688172044, 'F': 0.5698924731182796}","{'J': 0.4843597262952102, 'F': 0.5156402737047898}",4.0,2.0
9,F,J,-4.160165536575457,-5.2117332153559754,"{'J': 0.44172380019588636, 'F': 0.5582761998041136}","{'J': 0.5311812179016875, 'F': 0.46881878209831257}",3.4,1.8
10,F,F,-4.660165536575457,-5.8592020341380735,"{'J': 0.42626559060895086, 'F': 0.5737344093910491}","{'J': 0.5, 'F': 0.5}",3.8,3.6
