round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.8508175407665945,3.6352386618701824,"{'J': 0.7370478983382209, 'F': 0.26295210166177907}","{'J': 0.18016367411750336, 'F': 0.8198363258824967}",5.2,5.4,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,4.0
2,J,F,2.2529415902783443,6.505929587564906,"{'J': 0.5814180929095355, 'F': 0.41858190709046456}","{'J': 0.2877047176729406, 'F': 0.7122952823270594}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,4.0,3.0,6.0,2.0
3,J,F,3.4995334252517276,9.424079260640514,"{'J': 0.5737344093910491, 'F': 0.42626559060895086}","{'J': 0.23942284177060405, 'F': 0.760577158229396}",3.8,5.2,2.0,3.0,4.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
4,J,F,4.824247653478093,12.492844108305638,"{'J': 0.6334067009048667, 'F': 0.3665932990951333}","{'J': 0.28459657701711494, 'F': 0.7154034229828851}",5.2,3.8,4.0,5.0,6.0,8.0,3.0,2.0,4.0,3.0,8.0,2.0
5,J,F,6.194152500264633,15.378439468503771,"{'J': 0.5814180929095355, 'F': 0.41858190709046456}","{'J': 0.2782799902272172, 'F': 0.7217200097727828}",3.8,3.2,2.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,5.0,2.0
6,J,F,7.545856884879007,18.342766774370904,"{'J': 0.6039119804400978, 'F': 0.3960880195599022}","{'J': 0.28138739618954567, 'F': 0.7186126038104543}",3.2,3.8,2.0,3.0,4.0,5.0,2.0,2.0,4.0,3.0,8.0,2.0
7,J,F,8.929240957825535,21.268912860013447,"{'J': 0.5964311904179908, 'F': 0.4035688095820093}","{'J': 0.2878787878787879, 'F': 0.7121212121212122}",3.6,3.4,2.0,3.0,4.0,8.0,1.0,2.0,3.0,4.0,6.0,2.0
8,J,F,10.278471512821623,24.292089264297644,"{'J': 0.6224938875305623, 'F': 0.37750611246943766}","{'J': 0.2877047176729406, 'F': 0.7122952823270594}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,6.0,2.0
9,J,F,11.641195873155356,27.251212031596097,"{'J': 0.6039119804400978, 'F': 0.3960880195599022}","{'J': 0.2846322990471537, 'F': 0.7153677009528463}",4.6,3.8,2.0,4.0,6.0,8.0,3.0,2.0,4.0,3.0,8.0,2.0
10,J,F,13.112752953434944,30.27043801047231,"{'J': 0.6405867970660146, 'F': 0.3594132029339853}","{'J': 0.33105301734668946, 'F': 0.6689469826533105}",3.2,5.2,2.0,3.0,4.0,5.0,2.0,4.0,5.0,6.0,8.0,3.0
