round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.4147746620434927,3.2524749739537677,"{'J': 0.7090153921329099, 'F': 0.29098460786709013}","{'J': 0.34147532975085493, 'F': 0.6585246702491451}",3.8,2.6,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
2,F,F,3.1359943358917866,5.669200969973758,"{'J': 0.4805765941851942, 'F': 0.5194234058148057}","{'J': 0.34147532975085493, 'F': 0.6585246702491451}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
3,J,F,5.122889960577769,8.258344334703718,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.4571219154654288, 'F': 0.5428780845345712}",3.8,2.6,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
4,F,F,6.705890774359518,10.720895600476672,"{'J': 0.4766674810652333, 'F': 0.5233325189347666}","{'J': 0.3007573906669924, 'F': 0.6992426093330075}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
5,J,F,8.489202118135658,13.39230858119393,"{'J': 0.5736623503542634, 'F': 0.4263376496457366}","{'J': 0.3960420229660396, 'F': 0.6039579770339604}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
6,J,F,10.085906354037402,16.066575889736463,"{'J': 0.5465656318748472, 'F': 0.45343436812515275}","{'J': 0.33105301734668946, 'F': 0.6689469826533105}",3.8,3.8,2.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,8.0,2.0
7,J,F,11.653322102156645,18.84844891845049,"{'J': 0.5773649474456123, 'F': 0.42263505255438766}","{'J': 0.33447349132665527, 'F': 0.6655265086733447}",3.8,3.2,2.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,5.0,2.0
8,J,F,13.371319883393477,21.526857256872074,"{'J': 0.5659824046920822, 'F': 0.4340175953079179}","{'J': 0.37390029325513197, 'F': 0.626099706744868}",3.8,3.4,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,8.0,2.0
9,J,F,14.98910114400374,24.308744633721393,"{'J': 0.5850439882697948, 'F': 0.4149560117302053}","{'J': 0.3522227650219834, 'F': 0.6477772349780166}",3.8,3.8,2.0,3.0,4.0,8.0,2.0,2.0,3.0,4.0,8.0,2.0
10,J,F,16.66009353886332,27.11121307941186,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.37390029325513197, 'F': 0.626099706744868}",3.8,2.6,2.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,4.0,2.0
