round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,0.9691441273412109,1.0317128739576815,"{'J': 0.5039138943248532, 'F': 0.49608610567514677}","{'J': 0.5273704789833822, 'F': 0.4726295210166178}",1.0,1.4
2,F,J,1.946654662423588,2.0324222849791918,"{'J': 0.45330073349633254, 'F': 0.5466992665036675}","{'J': 0.5582987044732339, 'F': 0.44170129552676607}",2.0,4.4
3,F,J,2.8911820401404196,3.0861245755981663,"{'J': 0.49620934213744194, 'F': 0.5037906578625581}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",2.0,2.0
4,J,J,3.7922876638132905,4.19613107406884,"{'J': 0.5156402737047898, 'F': 0.4843597262952102}","{'J': 0.5888101636941119, 'F': 0.4111898363058881}",1.0,2.6
5,J,J,4.724918493279772,5.268978542719767,"{'J': 0.5117302052785924, 'F': 0.48826979472140764}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",1.0,1.0
6,F,J,5.715544393697074,6.267422669376989,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.5389689714146103, 'F': 0.4610310285853897}",2.0,2.0
7,J,J,6.596567747078381,7.419640745455585,"{'J': 0.5467871976545321, 'F': 0.45321280234546785}","{'J': 0.5888101636941119, 'F': 0.4111898363058881}",1.8,2.0
8,J,J,7.520207520324974,8.506957568443807,"{'J': 0.5234604105571847, 'F': 0.47653958944281527}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",1.0,1.4
9,F,J,8.45600304734879,9.566867437026382,"{'J': 0.49230393354507695, 'F': 0.507696066454923}","{'J': 0.5697532372343025, 'F': 0.4302467627656975}",1.0,3.4
10,J,J,9.32092458901065,10.740120276025158,"{'J': 0.5428780845345712, 'F': 0.4571219154654288}","{'J': 0.6112875641338871, 'F': 0.38871243586611287}",1.0,1.6
