round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.5531402226041313,0.7105327515336812,"{'J': 0.18250671878817493, 'F': 0.8174932812118251}","{'J': 0.3961895456765999, 'F': 0.6038104543234001}",2.0,3.0
2,F,F,2.9209620820085433,1.480053819531267,"{'J': 0.2782799902272172, 'F': 0.7217200097727828}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",3.6,1.8
3,F,F,4.338538866364646,2.2381288940681214,"{'J': 0.2628236443575965, 'F': 0.7371763556424035}","{'J': 0.40742550073277967, 'F': 0.5925744992672203}",2.0,3.2
4,F,F,5.723540687574627,2.9909000418062863,"{'J': 0.2538480332274615, 'F': 0.7461519667725385}","{'J': 0.43003663003663006, 'F': 0.5699633699633699}",2.0,2.0
5,F,F,7.1182859374383725,3.753429414597081,"{'J': 0.26899584656731, 'F': 0.73100415343269}","{'J': 0.4148962148962149, 'F': 0.5851037851037851}",1.8,1.8
6,F,F,8.42218726455006,4.542362006559236,"{'J': 0.3007573906669924, 'F': 0.6992426093330075}","{'J': 0.44175824175824174, 'F': 0.5582417582417583}",1.8,3.6
7,F,F,9.764825066148978,5.32515613448937,"{'J': 0.2975085490962384, 'F': 0.7024914509037616}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",1.0,1.0
8,F,F,11.051758009111966,6.113798896700038,"{'J': 0.2975085490962384, 'F': 0.7024914509037616}","{'J': 0.45334636052760136, 'F': 0.5466536394723986}",3.4,2.8
9,F,F,12.317034758196648,6.909416640235269,"{'J': 0.3040078201368524, 'F': 0.6959921798631477}","{'J': 0.46116267708842207, 'F': 0.5388373229115779}",2.0,1.8
10,F,F,13.59809046699732,7.709433731863223,"{'J': 0.3139506474468605, 'F': 0.6860493525531395}","{'J': 0.44553004396678064, 'F': 0.5544699560332194}",1.0,4.4
