round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.7953389061081364,0.7467430575122882,"{'J': 0.20683760683760682, 'F': 0.7931623931623931}","{'J': 0.26886446886446885, 'F': 0.7311355311355311}",1.0,3.0
2,F,F,3.43463266824466,1.4631073363010099,"{'J': 0.17556505803298716, 'F': 0.8244349419670128}","{'J': 0.3629702002931119, 'F': 0.6370297997068881}",3.4,2.0
3,F,F,4.93402756716259,2.163283866875022,"{'J': 0.17782120175867122, 'F': 0.8221787982413288}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",2.0,1.8
4,F,F,6.313611734826875,2.905133907406059,"{'J': 0.23937469467513434, 'F': 0.7606253053248656}","{'J': 0.44175824175824174, 'F': 0.5582417582417583}",3.6,1.0
5,F,F,7.620209423517641,3.6758673740645835,"{'J': 0.27503663898387887, 'F': 0.7249633610161211}","{'J': 0.45703125, 'F': 0.54296875}",1.4,2.0
6,F,F,8.878151686585547,4.477081803717734,"{'J': 0.31069858329262334, 'F': 0.6893014167073767}","{'J': 0.4609375, 'F': 0.5390625}",1.8,1.6
7,F,F,10.024860816502478,5.334766608567477,"{'J': 0.35939408746640605, 'F': 0.6406059125335939}","{'J': 0.49609375, 'F': 0.50390625}",2.0,1.6
8,F,J,11.099688307953382,6.24787878492312,"{'J': 0.4035173424523693, 'F': 0.5964826575476306}","{'J': 0.515625, 'F': 0.484375}",1.8,1.0
9,F,F,12.261072836416613,7.1036424362790935,"{'J': 0.36281456144637186, 'F': 0.6371854385536282}","{'J': 0.484375, 'F': 0.515625}",2.2,1.4
10,F,F,13.36829720439414,8.00912721583454,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.48046875, 'F': 0.51953125}",3.8,1.8
