round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,1.0979439914923785,0.8584351132738228,"{'J': 0.34505494505494505, 'F': 0.654945054945055}","{'J': 0.5351906158357771, 'F': 0.46480938416422285}",2.0,3.2
2,F,J,1.9819960757678885,1.9232395180183117,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.6370297997068881, 'F': 0.3629702002931119}",2.6,1.6
3,F,J,3.0146212880268006,2.8279038023162957,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.5621489621489622, 'F': 0.43785103785103785}",3.2,1.8
4,F,J,4.01343297408812,3.751785739192859,"{'J': 0.3811965811965812, 'F': 0.6188034188034188}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",1.8,2.6
5,F,J,4.96778339100264,4.691484141455364,"{'J': 0.3811965811965812, 'F': 0.6188034188034188}","{'J': 0.6114774114774115, 'F': 0.38852258852258853}",3.2,1.4
6,F,J,5.913826350919562,5.652861015680308,"{'J': 0.3961895456765999, 'F': 0.6038104543234001}","{'J': 0.6114774114774115, 'F': 0.38852258852258853}",3.8,1.8
7,F,J,6.879924462016168,6.574992346122298,"{'J': 0.3702979970688813, 'F': 0.6297020029311187}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",3.2,2.0
8,F,J,7.864409245472077,7.499877715801949,"{'J': 0.3776257938446507, 'F': 0.6223742061553493}","{'J': 0.5925744992672203, 'F': 0.40742550073277967}",1.8,2.0
9,F,J,8.908323058413735,8.39363689046,"{'J': 0.3665445665445665, 'F': 0.6334554334554334}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",3.2,3.0
10,F,J,9.912077204717955,9.307809272927448,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",3.0,1.8
