round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,0.8119787928704496,1.2326787207198264,"{'J': 0.5311507451746885, 'F': 0.46884925482531153}","{'J': 0.67919921875, 'F': 0.32080078125}",6.0,6.0
2,J,J,1.6391215055292185,2.4714957204450343,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.6513671875, 'F': 0.3486328125}",5.2,3.8
3,J,J,2.562926025524812,3.5499186024109917,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.5735222276502199, 'F': 0.4264777723497802}",5.6,4.0
4,J,J,3.482714297828961,4.632626254635009,"{'J': 0.504029304029304, 'F': 0.495970695970696}","{'J': 0.5774303859306302, 'F': 0.4225696140693698}",5.4,4.8
5,J,J,4.366031436641948,5.7628824501574485,"{'J': 0.5157509157509158, 'F': 0.48424908424908425}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",4.4,3.8
6,F,J,5.274572630897428,6.848224621213905,"{'J': 0.49206349206349204, 'F': 0.5079365079365079}","{'J': 0.5963369963369963, 'F': 0.40366300366300367}",5.6,5.0
7,F,J,6.217114030470078,7.882846683179717,"{'J': 0.46484375, 'F': 0.53515625}","{'J': 0.5811965811965812, 'F': 0.4188034188034188}",5.4,4.2
8,F,J,7.179033579276258,8.89110357398028,"{'J': 0.449438202247191, 'F': 0.550561797752809}","{'J': 0.57373046875, 'F': 0.42626953125}",4.8,4.0
9,F,J,8.183767843790742,9.84211378477071,"{'J': 0.41098901098901097, 'F': 0.589010989010989}","{'J': 0.5621489621489622, 'F': 0.43785103785103785}",6.0,4.0
10,F,J,9.211032935231657,10.76290756974032,"{'J': 0.38852258852258853, 'F': 0.6114774114774115}","{'J': 0.5582417582417583, 'F': 0.44175824175824174}",5.0,4.6
