round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.5035660720603936,0.7273052939923133,"{'J': 0.21211381121015996, 'F': 0.7878861887898401}","{'J': 0.3997557997557998, 'F': 0.6002442002442002}",5.0,6.0
2,F,F,2.6043778470909187,1.634471998815268,"{'J': 0.4148962148962149, 'F': 0.5851037851037851}","{'J': 0.48828125, 'F': 0.51171875}",4.4,5.8
3,F,F,3.7934082879800246,2.485973433842137,"{'J': 0.3702979970688813, 'F': 0.6297020029311187}","{'J': 0.4609375, 'F': 0.5390625}",3.8,5.6
4,F,F,4.984184959225446,3.338553752828706,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.45703125, 'F': 0.54296875}",4.6,4.2
5,F,F,6.189538286453773,4.183246213146166,"{'J': 0.3665445665445665, 'F': 0.6334554334554334}","{'J': 0.453125, 'F': 0.546875}",4.6,4.8
6,F,F,7.365967239445227,5.043943328530782,"{'J': 0.3811965811965812, 'F': 0.6188034188034188}","{'J': 0.4609375, 'F': 0.5390625}",5.0,4.0
7,F,F,8.60456685597453,5.871139461390977,"{'J': 0.3486328125, 'F': 0.6513671875}","{'J': 0.4456654456654457, 'F': 0.5543345543345544}",5.4,5.2
8,F,F,9.809920183202857,6.715831921708437,"{'J': 0.3665445665445665, 'F': 0.6334554334554334}","{'J': 0.453125, 'F': 0.546875}",3.4,6.0
9,F,F,11.01048010754076,7.563680561239305,"{'J': 0.3702979970688813, 'F': 0.6297020029311187}","{'J': 0.45334636052760136, 'F': 0.5466536394723986}",5.4,5.8
10,F,F,12.171157318092787,8.431764953032173,"{'J': 0.3849535906204201, 'F': 0.6150464093795799}","{'J': 0.46875, 'F': 0.53125}",5.4,6.2
