round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,2.695342746363992,0.9015752998055788,"{'J': 0.013017932086989698, 'F': 0.9869820679130104}","{'J': 0.09009834463380367, 'F': 0.9099016553661963}",4.4,2.8
2,F,F,4.049592509746579,1.6677156166185627,"{'J': 0.27192768140728074, 'F': 0.7280723185927193}","{'J': 0.4340175953079179, 'F': 0.5659824046920822}",4.4,1.2
3,F,J,5.138295520207831,2.5649656356268236,"{'J': 0.38852258852258853, 'F': 0.6114774114774115}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",4.4,4.2
4,J,J,6.042531360051581,3.6791624129705736,"{'J': 0.53125, 'F': 0.46875}","{'J': 0.57373046875, 'F': 0.42626953125}",1.0,3.0
5,F,J,7.0103191604385,4.708903922888295,"{'J': 0.49206349206349204, 'F': 0.5079365079365079}","{'J': 0.5389133627019089, 'F': 0.461086637298091}",3.6,1.8
6,J,J,7.92212853253461,5.815870602829885,"{'J': 0.543010752688172, 'F': 0.45698924731182794}","{'J': 0.5545679012345679, 'F': 0.4454320987654321}",4.0,4.2
7,J,J,8.836877473587709,6.917495489099543,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",3.4,4.2
8,J,J,9.713636525204446,8.081144311287265,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.5813725490196079, 'F': 0.41862745098039217}",3.8,1.6
9,J,J,10.5567420341718,9.309409857933938,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.6150085553654363, 'F': 0.3849914446345637}",4.8,3.8
10,J,J,11.455078072489286,10.432815537401364,"{'J': 0.5350941550501345, 'F': 0.4649058449498655}","{'J': 0.5774406655248349, 'F': 0.42255933447516514}",2.0,4.0
