round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.5931786882711336,0.7502845225461153,"{'J': 0.25091619838749085, 'F': 0.7490838016125092}","{'J': 0.32763671875, 'F': 0.67236328125}",6.4,6.0
2,F,F,2.7567908340942893,1.6203344431616502,"{'J': 0.39228138739618956, 'F': 0.6077186126038104}","{'J': 0.4609375, 'F': 0.5390625}",6.2,6.0
3,F,F,4.011068903345267,2.446596528480565,"{'J': 0.35581622678396874, 'F': 0.6441837732160313}","{'J': 0.43017578125, 'F': 0.56982421875}",4.4,6.0
4,F,F,5.2338568114079,3.285990053148815,"{'J': 0.3665445665445665, 'F': 0.6334554334554334}","{'J': 0.44175824175824174, 'F': 0.5582417582417583}",6.4,6.4
5,F,F,6.483557734668651,4.114830713842377,"{'J': 0.35939408746640605, 'F': 0.6406059125335939}","{'J': 0.43017578125, 'F': 0.56982421875}",6.8,4.8
6,F,F,7.638527591201007,4.991187169886333,"{'J': 0.3997557997557998, 'F': 0.6002442002442002}","{'J': 0.4609375, 'F': 0.5390625}",6.8,6.0
7,F,F,8.809607697112574,5.860655279803881,"{'J': 0.3997557997557998, 'F': 0.6002442002442002}","{'J': 0.449438202247191, 'F': 0.550561797752809}",6.0,6.0
8,F,F,9.950356735339247,6.745942819496113,"{'J': 0.40742550073277967, 'F': 0.5925744992672203}","{'J': 0.46484375, 'F': 0.53515625}",6.6,6.4
9,F,F,11.09645850011697,7.628770585739396,"{'J': 0.40742550073277967, 'F': 0.5925744992672203}","{'J': 0.4609375, 'F': 0.5390625}",6.2,6.8
10,F,F,12.214037197601094,8.528984694801437,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.47265625, 'F': 0.52734375}",5.8,7.2
