round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.8291015625,1.39990234375,"{'J': 0.31396484375, 'F': 0.68603515625}","{'J': 0.45703125, 'F': 0.54296875}",5.2,5.2
2,F,J,3.515216150922081,2.7716887995389596,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.5234375, 'F': 0.4765625}",6.8,6.5
3,F,F,5.248621658729152,4.248209488858867,"{'J': 0.3522227650219834, 'F': 0.6477772349780166}","{'J': 0.43785103785103785, 'F': 0.5621489621489622}",6.6,6.2
4,F,J,6.838266899078529,5.662371243684179,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.52734375, 'F': 0.47265625}",5.2,6.0
5,F,J,8.404924980580361,7.076307827933263,"{'J': 0.48424908424908425, 'F': 0.5157509157509158}","{'J': 0.53515625, 'F': 0.46484375}",6.6,4.8
6,F,J,10.002130876403516,8.498408005021686,"{'J': 0.46116267708842207, 'F': 0.5388373229115779}","{'J': 0.51953125, 'F': 0.48046875}",5.0,4.2
7,F,J,11.618871838787493,9.893162523829698,"{'J': 0.4572545188080117, 'F': 0.5427454811919883}","{'J': 0.53125, 'F': 0.46875}",6.0,4.8
8,F,J,13.212658034136952,11.26456449210514,"{'J': 0.48034188034188036, 'F': 0.5196581196581197}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",5.8,4.4
9,F,J,14.802066643519373,12.644017490784716,"{'J': 0.4805765941851942, 'F': 0.5194234058148057}","{'J': 0.550561797752809, 'F': 0.449438202247191}",5.0,4.0
10,F,J,16.37974695870236,14.023472399143394,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",5.0,4.4
