round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,2.30817885863085,1.1015910006870184,"{'J': 0.09401709401709402, 'F': 0.905982905982906}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",2.2,2.0
2,F,J,4.2456330487114755,2.353728796924497,"{'J': 0.29098460786709013, 'F': 0.7090153921329099}","{'J': 0.5194234058148057, 'F': 0.4805765941851942}",2.2,3.4
3,F,F,6.181377001802118,3.6474009200615605,"{'J': 0.2782799902272172, 'F': 0.7217200097727828}","{'J': 0.49230393354507695, 'F': 0.507696066454923}",4.2,3.2
4,F,J,8.099285626282938,4.909311499098941,"{'J': 0.3007573906669924, 'F': 0.6992426093330075}","{'J': 0.5194234058148057, 'F': 0.4805765941851942}",3.6,1.8
5,F,J,10.020019443841377,6.175318216693348,"{'J': 0.2975085490962384, 'F': 0.7024914509037616}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",1.6,1.8
6,F,J,11.89906783254039,7.444585231135051,"{'J': 0.3242120693867579, 'F': 0.6757879306132422}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",1.8,2.0
7,F,J,13.79045638527934,8.678910495556977,"{'J': 0.32763254336672365, 'F': 0.6723674566332764}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",1.8,2.6
8,F,J,15.674160269960502,9.96965078385407,"{'J': 0.3139506474468605, 'F': 0.6860493525531395}","{'J': 0.5116051795748839, 'F': 0.48839482042511606}",3.0,3.0
9,F,J,17.57632842694058,11.233218720016046,"{'J': 0.31069858329262334, 'F': 0.6893014167073767}","{'J': 0.5235653235653236, 'F': 0.4764346764346764}",1.8,2.8
10,F,J,19.4146283780886,12.499950522654053,"{'J': 0.3522227650219834, 'F': 0.6477772349780166}","{'J': 0.5427454811919883, 'F': 0.4572545188080117}",3.8,2.2
