round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,2.071323888617489,1.2960429897410846,"{'J': 0.18710307767464582, 'F': 0.8128969223253542}","{'J': 0.44553004396678064, 'F': 0.5544699560332194}",4.0,1.8
2,F,J,3.8712966146244354,2.6286488573752855,"{'J': 0.35581622678396874, 'F': 0.6441837732160313}","{'J': 0.5116051795748839, 'F': 0.48839482042511606}",4.6,1.0
3,F,F,5.765292289660912,4.024874463080491,"{'J': 0.27192768140728074, 'F': 0.7280723185927193}","{'J': 0.43785103785103785, 'F': 0.5621489621489622}",3.6,1.0
4,F,F,7.594276287176549,5.384008837949047,"{'J': 0.32763254336672365, 'F': 0.6723674566332764}","{'J': 0.48424908424908425, 'F': 0.5157509157509158}",1.8,2.0
5,F,F,9.396988234403523,6.73265286433556,"{'J': 0.34864402638651354, 'F': 0.6513559736134864}","{'J': 0.5, 'F': 0.5}",2.0,1.8
6,F,J,11.218384841434139,8.054188993054684,"{'J': 0.3452235524065478, 'F': 0.6547764475934522}","{'J': 0.5118437118437118, 'F': 0.48815628815628814}",1.4,1.8
7,F,F,13.050099316886019,9.417628630328743,"{'J': 0.3243771372740596, 'F': 0.6756228627259404}","{'J': 0.48046875, 'F': 0.51953125}",2.0,3.0
8,F,F,14.77225562770867,10.818455236822178,"{'J': 0.3849535906204201, 'F': 0.6150464093795799}","{'J': 0.49206349206349204, 'F': 0.5079365079365079}",4.4,1.8
9,F,J,16.48378278635547,12.206832282498778,"{'J': 0.3961895456765999, 'F': 0.6038104543234001}","{'J': 0.50390625, 'F': 0.49609375}",2.0,1.8
10,F,F,18.205638708211392,13.619530695197192,"{'J': 0.3811965811965812, 'F': 0.6188034188034188}","{'J': 0.48424908424908425, 'F': 0.5157509157509158}",1.8,1.8
