round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,1.1232232023545479,1.4298372138728117,"{'J': 0.7745721271393643, 'F': 0.2254278728606357}","{'J': 0.6723674566332764, 'F': 0.32763254336672365}",5.6,5.0
2,F,F,2.9765165741835884,2.8406385846681426,"{'J': 0.2942039618488628, 'F': 0.7057960381511372}","{'J': 0.44170129552676607, 'F': 0.5582987044732339}",5.6,5.8
3,J,F,4.398899592002191,4.4027185148011085,"{'J': 0.5310513447432763, 'F': 0.4689486552567237}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",6.0,5.0
4,J,F,5.875565162454952,5.937657168616996,"{'J': 0.5039100684261975, 'F': 0.49608993157380255}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",6.0,5.8
5,F,F,7.391337149007105,7.488224632462835,"{'J': 0.4726295210166178, 'F': 0.5273704789833822}","{'J': 0.4610310285853897, 'F': 0.5389689714146103}",6.0,6.4
6,J,J,8.77501261332773,9.022926489745338,"{'J': 0.5659824046920822, 'F': 0.4340175953079179}","{'J': 0.5156402737047898, 'F': 0.4843597262952102}",6.4,5.2
7,F,F,10.4016437332596,10.570104455310798,"{'J': 0.39985326485693323, 'F': 0.6001467351430667}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",5.8,5.8
8,J,F,11.816072985160261,12.12462003463906,"{'J': 0.5388753056234719, 'F': 0.46112469437652814}","{'J': 0.4921798631476051, 'F': 0.5078201368523949}",5.4,5.8
9,F,F,13.351132843454911,13.647952553573827,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.47275836794527243, 'F': 0.5272416320547276}",6.6,6.0
10,J,F,14.812408191610299,15.1905863185384,"{'J': 0.5116051795748839, 'F': 0.48839482042511606}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",6.2,5.8
