round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,1.6860096073568478,1.371996417919426,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.5233325189347666, 'F': 0.4766674810652333}",2.8,2.0
2,F,J,3.329878684054454,2.7242191829414093,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.550561797752809, 'F': 0.449438202247191}",2.6,2.6
3,F,J,5.027558781734552,4.08417034289257,"{'J': 0.4148962148962149, 'F': 0.5851037851037851}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",4.0,1.8
4,F,J,6.702554859857156,5.397588054747018,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.566056166056166, 'F': 0.43394383394383396}",1.8,1.4
5,F,J,8.411885587751636,6.722942231591181,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",2.4,2.0
6,F,J,10.063570981010063,8.094705788015215,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.5349291646311676, 'F': 0.4650708353688324}",2.6,1.4
7,F,J,11.738653970936802,9.454429918051845,"{'J': 0.43003663003663006, 'F': 0.5699633699633699}","{'J': 0.53515625, 'F': 0.46484375}",2.4,1.8
8,F,J,13.444148476431309,10.810473874095802,"{'J': 0.41098901098901097, 'F': 0.589010989010989}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",1.4,1.0
9,F,J,15.130442148554446,12.1706009202722,"{'J': 0.4224285365257757, 'F': 0.5775714634742243}","{'J': 0.5311507451746885, 'F': 0.46884925482531153}",2.0,1.6
10,F,J,16.75099105955397,13.569464016690347,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",3.2,3.2
