round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,1.1105862941614784,1.889259857315939,"{'J': 0.6298558514537015, 'F': 0.37014414854629857}","{'J': 0.3702979970688813, 'F': 0.6297020029311187}",3.6,4.8
2,F,F,2.6393176398933127,3.564088323644161,"{'J': 0.4225696140693698, 'F': 0.5774303859306302}","{'J': 0.3738705738705739, 'F': 0.6261294261294261}",5.2,4.2
3,F,F,4.209566844632015,5.1793300216411104,"{'J': 0.4147532975085491, 'F': 0.5852467024914509}","{'J': 0.3997557997557998, 'F': 0.6002442002442002}",3.8,4.8
4,F,F,5.771787760236757,6.7758752414944174,"{'J': 0.4263376496457366, 'F': 0.5736623503542634}","{'J': 0.4148962148962149, 'F': 0.5851037851037851}",4.4,4.6
5,F,F,7.394599929200893,8.342124834668027,"{'J': 0.3960420229660396, 'F': 0.6039579770339604}","{'J': 0.4148962148962149, 'F': 0.5851037851037851}",4.4,4.2
6,F,F,8.926252372724367,9.953954290561967,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.4148962148962149, 'F': 0.5851037851037851}",3.0,3.8
7,F,F,10.453770601977265,11.539279425019767,"{'J': 0.45321280234546785, 'F': 0.5467871976545321}","{'J': 0.43394383394383396, 'F': 0.566056166056166}",4.0,3.8
8,F,F,12.034847589505866,13.132257414771951,"{'J': 0.4149560117302053, 'F': 0.5850439882697948}","{'J': 0.41098901098901097, 'F': 0.589010989010989}",3.0,3.6
9,F,F,13.593229452868197,14.713662186215785,"{'J': 0.43394383394383396, 'F': 0.566056166056166}","{'J': 0.42626953125, 'F': 0.57373046875}",4.4,4.6
10,F,F,15.159079235718469,16.314253778307133,"{'J': 0.4225696140693698, 'F': 0.5774303859306302}","{'J': 0.41098901098901097, 'F': 0.589010989010989}",3.6,5.4
