round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,2.1379115658617245,2.4871271628173655,"{'J': 0.566056166056166, 'F': 0.43394383394383396}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",5.8,4.0
2,F,F,4.3911700103246645,4.702506229552405,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.495970695970696, 'F': 0.504029304029304}",6.0,4.2
3,J,J,6.755033742532315,7.198980118796202,"{'J': 0.6077186126038104, 'F': 0.39228138739618956}","{'J': 0.5811965811965812, 'F': 0.4188034188034188}",5.0,6.8
4,F,J,9.182000034667146,9.37313742216699,"{'J': 0.5, 'F': 0.5}","{'J': 0.550561797752809, 'F': 0.449438202247191}",6.4,5.8
5,J,J,11.585220328459007,11.71843143771015,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.5699633699633699, 'F': 0.43003663003663006}",5.6,5.6
6,F,J,13.919789578738005,13.87712908016054,"{'J': 0.4805765941851942, 'F': 0.5194234058148057}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",4.8,4.6
7,J,J,16.24883116115072,16.24525224537736,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",6.2,3.8
8,J,J,18.508676476322965,18.524060958424023,"{'J': 0.5116051795748839, 'F': 0.48839482042511606}","{'J': 0.5078125, 'F': 0.4921875}",4.6,4.4
9,J,J,20.808380238844343,20.862359578018452,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.53125, 'F': 0.46875}",5.2,5.8
10,J,J,23.129106936865355,23.20216419871232,"{'J': 0.5428780845345712, 'F': 0.4571219154654288}","{'J': 0.5390625, 'F': 0.4609375}",4.4,5.0
