round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,1.799894567513615,3.232128999748047,"{'J': 0.7746031746031746, 'F': 0.2253968253968254}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",5.0,1.8
2,F,F,3.8320628755075203,4.770271038517313,"{'J': 0.23928178820080614, 'F': 0.7607182117991939}","{'J': 0.338087042045734, 'F': 0.6619129579542661}",3.4,1.8
3,F,F,5.858215916605616,6.930734213925543,"{'J': 0.43785103785103785, 'F': 0.5621489621489622}","{'J': 0.41098901098901097, 'F': 0.589010989010989}",2.6,2.0
4,J,F,7.997870188595675,9.284168109663465,"{'J': 0.5194234058148057, 'F': 0.4805765941851942}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",3.8,1.6
5,F,J,10.314602700221176,11.405579571661745,"{'J': 0.4649337910740559, 'F': 0.5350662089259441}","{'J': 0.5039980009995002, 'F': 0.49600199900049974}",1.8,1.0
6,F,J,12.73462811522778,13.571737188705079,"{'J': 0.4960668633235005, 'F': 0.5039331366764995}","{'J': 0.5468404229161544, 'F': 0.4531595770838456}",2.8,1.8
7,J,J,15.132701820589226,15.834240350177868,"{'J': 0.5273311897106109, 'F': 0.47266881028938906}","{'J': 0.5544452984883423, 'F': 0.4455547015116577}",1.0,1.0
8,F,J,17.451153184016597,17.97683804305084,"{'J': 0.47257072570725706, 'F': 0.5274292742927429}","{'J': 0.5077414598181371, 'F': 0.4922585401818629}",3.2,1.0
9,J,J,19.711267755604357,20.305614850793468,"{'J': 0.5293175264338353, 'F': 0.4706824735661647}","{'J': 0.5155850792028616, 'F': 0.4844149207971385}",1.8,2.2
10,F,J,22.033379897090512,22.491389613036546,"{'J': 0.48824681684622917, 'F': 0.5117531831537708}","{'J': 0.5155142926948448, 'F': 0.48448570730515517}",4.4,2.4
