round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,0.9592016293111467,1.6523510033332327,"{'J': 0.17323892076669514, 'F': 0.8267610792333049}","{'J': 0.03460904596227797, 'F': 0.965390954037722}",4.2,3.4
2,F,F,2.675397395981884,3.853619723564058,"{'J': 0.4111328125, 'F': 0.5888671875}","{'J': 0.31411822178798243, 'F': 0.6858817782120176}",3.0,4.6
3,F,F,4.507877091878318,6.056333250600575,"{'J': 0.42626953125, 'F': 0.57373046875}","{'J': 0.3522227650219834, 'F': 0.6477772349780166}",3.8,4.4
4,F,F,6.456034584930779,8.38860866123456,"{'J': 0.48424908424908425, 'F': 0.5157509157509158}","{'J': 0.40742550073277967, 'F': 0.5925744992672203}",3.2,2.8
5,J,F,8.463457497115595,10.765994943382747,"{'J': 0.5079365079365079, 'F': 0.49206349206349204}","{'J': 0.43394383394383396, 'F': 0.566056166056166}",4.0,4.6
6,F,F,10.535252368910466,13.01181587592243,"{'J': 0.47265625, 'F': 0.52734375}","{'J': 0.43785103785103785, 'F': 0.5621489621489622}",2.2,3.0
7,F,F,12.623808350178061,15.216485185579346,"{'J': 0.46112469437652814, 'F': 0.5388753056234719}","{'J': 0.437902028698664, 'F': 0.562097971301336}",4.2,4.2
8,J,F,14.726612157671658,17.708921724567094,"{'J': 0.5622862725940401, 'F': 0.43771372740595993}","{'J': 0.4843597262952102, 'F': 0.5156402737047898}",4.0,2.2
9,F,F,16.82519652828612,19.94378082833467,"{'J': 0.4727317192467596, 'F': 0.5272682807532404}","{'J': 0.44547677261613694, 'F': 0.5545232273838631}",4.0,3.4
10,J,F,18.955310246095944,22.423806241389308,"{'J': 0.5622862725940401, 'F': 0.43771372740595993}","{'J': 0.49230393354507695, 'F': 0.507696066454923}",4.0,3.8
