round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,2.6786420193507907,2.7485391028215473,"{'J': 0.7745565749235473, 'F': 0.2254434250764526}","{'J': 0.760577158229396, 'F': 0.23942284177060405}",5.2,4.6
2,F,J,5.906222293860852,4.443425058149894,"{'J': 0.44547677261613694, 'F': 0.5545232273838631}","{'J': 0.7520156364524798, 'F': 0.24798436354752015}",3.8,6.2
3,F,J,8.297234751648528,6.445182725183817,"{'J': 0.4338792471278416, 'F': 0.5661207528721584}","{'J': 0.5117302052785924, 'F': 0.48826979472140764}",6.0,5.6
4,F,F,10.520298519056297,8.706726824866202,"{'J': 0.5, 'F': 0.5}","{'J': 0.49230393354507695, 'F': 0.507696066454923}",5.8,4.4
5,J,J,13.134585983599509,11.065211938448531,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.6513559736134864, 'F': 0.34864402638651354}",4.6,4.8
6,F,F,15.444764929030766,12.95516122348399,"{'J': 0.384803322746152, 'F': 0.6151966772538481}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",4.8,4.8
7,J,J,17.877603557029502,15.369173750892323,"{'J': 0.5889540566959922, 'F': 0.41104594330400784}","{'J': 0.5927192768140728, 'F': 0.4072807231859272}",5.2,6.0
8,F,J,20.27458495382233,17.435102130338464,"{'J': 0.4571219154654288, 'F': 0.5428780845345712}","{'J': 0.5233325189347666, 'F': 0.4766674810652333}",5.0,4.4
9,J,J,22.749570056653063,19.737382068280347,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",5.6,5.111111111111111
10,J,J,25.089939435624935,21.95932357656439,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",5.8,5.8
