round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,2.138564772651776,2.2753837318504075,"{'J': 0.49230393354507695, 'F': 0.507696066454923}","{'J': 0.4649401417053506, 'F': 0.5350598582946494}",1.8,2.0
2,F,J,4.448858388411845,4.410339843887767,"{'J': 0.4687194525904203, 'F': 0.5312805474095796}","{'J': 0.5037869533349622, 'F': 0.49621304666503785}",3.2,1.0
3,F,F,6.7669796085429414,6.475457429324816,"{'J': 0.4456123197262283, 'F': 0.5543876802737717}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",1.8,3.8
4,J,J,9.100692556692024,8.809833718241903,"{'J': 0.543010752688172, 'F': 0.45698924731182794}","{'J': 0.5428780845345712, 'F': 0.4571219154654288}",4.6,4.2
5,F,J,11.417526175064856,10.931221524994967,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.504029304029304, 'F': 0.495970695970696}",2.0,4.4
6,J,J,13.815824722598737,13.193378452636392,"{'J': 0.5272416320547276, 'F': 0.47275836794527243}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",2.0,2.0
7,F,J,16.140575846274857,15.322693310756527,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.5079365079365079, 'F': 0.49206349206349204}",2.0,1.8
8,J,J,18.480945225246728,17.54463481904057,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",1.8,2.0
9,J,J,20.885320371680326,19.793322779981903,"{'J': 0.5233325189347666, 'F': 0.4766674810652333}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",2.0,4.8
10,J,J,23.3663018382958,22.082730855414898,"{'J': 0.550696310774493, 'F': 0.44930368922550695}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",1.8,2.0
