round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,3.1386364273516207,1.6518082688087574,"{'J': 0.4148962148962149, 'F': 0.5851037851037851}","{'J': 0.7122618466047875, 'F': 0.2877381533952125}",3.4,1.8
2,F,J,5.575286496032939,3.5481796058050943,"{'J': 0.40366300366300367, 'F': 0.5963369963369963}","{'J': 0.51171875, 'F': 0.48828125}",4.2,3.4
3,F,F,7.813927635602267,5.199882416374539,"{'J': 0.2975085490962384, 'F': 0.7024914509037616}","{'J': 0.4148962148962149, 'F': 0.5851037851037851}",3.6,4.6
4,F,J,10.160081481756114,7.408673625165748,"{'J': 0.5, 'F': 0.5}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",2.2,2.4
5,F,J,12.549782482595365,9.466815830352408,"{'J': 0.45334636052760136, 'F': 0.5466536394723986}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",3.2,3.0
6,F,J,14.958468729599705,11.50603049391887,"{'J': 0.449438202247191, 'F': 0.550561797752809}","{'J': 0.5233325189347666, 'F': 0.4766674810652333}",3.2,2.0
7,F,J,17.346159820466173,13.542617225864664,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",2.4,3.6
8,F,J,19.786422015040607,15.53592644942065,"{'J': 0.43785103785103785, 'F': 0.5621489621489622}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",4.4,3.0
9,F,J,22.172860133183658,17.495525326361978,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.504029304029304, 'F': 0.495970695970696}",3.2,1.8
10,F,J,24.577720880877948,19.569333056709578,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",1.8,2.0
