round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,2.900020261519175,2.523860027029678,"{'J': 0.727894479726429, 'F': 0.2721055202735711}","{'J': 0.8031265266243283, 'F': 0.1968734733756717}",5.4,5.6
2,J,J,5.297247547629921,5.232920822628466,"{'J': 0.6958221353530418, 'F': 0.30417786464695823}","{'J': 0.6334554334554334, 'F': 0.3665445665445665}",6.25,4.2
3,J,J,7.654955865869827,7.928541486836341,"{'J': 0.6826288785731737, 'F': 0.3173711214268263}","{'J': 0.6150464093795799, 'F': 0.3849535906204201}",5.4,3.4
4,J,J,10.114485170552086,10.669851104183198,"{'J': 0.7217200097727828, 'F': 0.2782799902272172}","{'J': 0.6653639472398633, 'F': 0.3346360527601368}",5.8,5.6
5,J,J,12.54697095908183,13.361189151565203,"{'J': 0.6959706959706959, 'F': 0.304029304029304}","{'J': 0.6442002442002442, 'F': 0.3557997557997558}",6.2,3.2
6,J,J,15.01029868330752,16.06144897154077,"{'J': 0.7059110893991206, 'F': 0.2940889106008793}","{'J': 0.6585246702491451, 'F': 0.34147532975085493}",6.4,4.2
7,J,J,17.45307091194242,18.71350233609099,"{'J': 0.6824621397166585, 'F': 0.31753786028334147}","{'J': 0.6406059125335939, 'F': 0.35939408746640605}",5.6,4.4
8,J,J,19.929504815382597,21.29662822058572,"{'J': 0.6619443087445042, 'F': 0.33805569125549584}","{'J': 0.6406059125335939, 'F': 0.35939408746640605}",6.0,5.2
9,J,J,22.43534614130699,23.838248193576327,"{'J': 0.6513559736134864, 'F': 0.34864402638651354}","{'J': 0.6442002442002442, 'F': 0.3557997557997558}",6.0,5.2
10,J,J,24.95431683381989,26.443539365332747,"{'J': 0.679208404593208, 'F': 0.3207915954067921}","{'J': 0.6619443087445042, 'F': 0.33805569125549584}",5.4,5.6
