round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,1.9577523746959278,8.002893177742756,"{'J': 0.9511480214948705, 'F': 0.048851978505129456}","{'J': 0.08755647820246672, 'F': 0.9124435217975333}",7.6,6.2
2,J,F,7.697173970205415,14.394876343336255,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",7.6,5.6
3,J,F,13.527784220170503,20.44516476459242,"{'J': 0.5039100684261975, 'F': 0.49608993157380255}","{'J': 0.4725274725274725, 'F': 0.5274725274725275}",5.0,5.4
4,J,J,19.565889837074362,26.809017879398148,"{'J': 0.5622862725940401, 'F': 0.43771372740595993}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",4.2,4.2
5,F,F,25.174840703782376,32.85385323515459,"{'J': 0.49621304666503785, 'F': 0.5037869533349622}","{'J': 0.43394383394383396, 'F': 0.566056166056166}",6.2,2.0
6,J,J,31.278155663926068,39.28049695547043,"{'J': 0.5736623503542634, 'F': 0.4263376496457366}","{'J': 0.5274725274725275, 'F': 0.4725274725274725}",5.8,5.0
7,F,F,36.93827873558284,45.29539436213815,"{'J': 0.49230393354507695, 'F': 0.507696066454923}","{'J': 0.4416218856863703, 'F': 0.5583781143136297}",5.0,4.8
8,J,J,43.05289230425866,51.627963306626285,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",5.6,4.6
9,F,F,48.71861581160405,57.619427631261104,"{'J': 0.48815628815628814, 'F': 0.5118437118437118}","{'J': 0.4416218856863703, 'F': 0.5583781143136297}",5.4,5.4
10,J,J,54.78851923500039,63.93301390928314,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",4.6,5.0
