round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,6.858331410199348,6.2564750350161535,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.6443575964826576, 'F': 0.35564240351734244}",3.6,3.2
2,F,F,12.451353142528212,12.037576884589768,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.41866145578895947, 'F': 0.5813385442110406}",3.0,3.0
3,J,J,18.541142792568774,18.37268570228237,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.5233325189347666, 'F': 0.4766674810652333}",3.0,1.2
4,F,F,24.441115746099882,24.190567280294303,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.4766674810652333, 'F': 0.5233325189347666}",1.8,2.6
5,J,J,30.859069169465943,30.687191605199576,"{'J': 0.5888101636941119, 'F': 0.4111898363058881}","{'J': 0.5775714634742243, 'F': 0.4224285365257757}",1.8,2.0
6,F,J,37.02027890820871,36.35850491896904,"{'J': 0.449438202247191, 'F': 0.550561797752809}","{'J': 0.5194234058148057, 'F': 0.4805765941851942}",1.8,4.0
7,J,J,43.2122137478869,42.46834838312805,"{'J': 0.5233325189347666, 'F': 0.4766674810652333}","{'J': 0.5350598582946494, 'F': 0.4649401417053506}",2.0,2.0
8,F,J,49.35636229418546,48.257783088722974,"{'J': 0.46875, 'F': 0.53125}","{'J': 0.5194234058148057, 'F': 0.4805765941851942}",3.0,2.4
9,J,J,55.65958042572917,54.425130536096695,"{'J': 0.5350598582946494, 'F': 0.4649401417053506}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",3.6,1.6
10,J,J,61.91144155720687,60.623198991169886,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",1.8,1.0
