round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,4.859190056256788,6.902935446910025,"{'J': 0.6477633830359325, 'F': 0.35223661696406744}","{'J': 0.3557997557997558, 'F': 0.6442002442002442}",4.4,4.6
2,J,F,10.36199883671838,13.277150408802248,"{'J': 0.5545232273838631, 'F': 0.44547677261613694}","{'J': 0.43003663003663006, 'F': 0.5699633699633699}",3.2,4.6
3,J,F,15.828892818854047,19.61356747603405,"{'J': 0.5467871976545321, 'F': 0.45321280234546785}","{'J': 0.4225696140693698, 'F': 0.5774303859306302}",3.8,4.4
4,J,F,21.343748543313623,25.943768208050415,"{'J': 0.5466536394723986, 'F': 0.45334636052760136}","{'J': 0.43017578125, 'F': 0.56982421875}",4.8,3.8
5,J,F,27.027254512414746,32.25463090345833,"{'J': 0.5466536394723986, 'F': 0.45334636052760136}","{'J': 0.45703125, 'F': 0.54296875}",3.8,2.0
6,J,F,32.44183765007481,38.69998327188762,"{'J': 0.566056166056166, 'F': 0.43394383394383396}","{'J': 0.4188034188034188, 'F': 0.5811965811965812}",4.0,3.2
7,J,F,37.98262475744716,45.217832496429565,"{'J': 0.5813385442110406, 'F': 0.41866145578895947}","{'J': 0.44175824175824174, 'F': 0.5582417582417583}",4.0,3.4
8,J,F,43.53885667809838,51.88202728957712,"{'J': 0.6077186126038104, 'F': 0.39228138739618956}","{'J': 0.449438202247191, 'F': 0.550561797752809}",4.4,4.4
9,J,F,49.29229197427915,58.578394289021794,"{'J': 0.6150464093795799, 'F': 0.3849535906204201}","{'J': 0.48034188034188036, 'F': 0.5196581196581197}",3.6,3.6
10,J,F,54.92204780628993,65.25902433035083,"{'J': 0.6112875641338871, 'F': 0.38871243586611287}","{'J': 0.46116267708842207, 'F': 0.5388373229115779}",4.4,4.2
