round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,4.854992217460888,6.442854106126358,"{'J': 0.5544699560332194, 'F': 0.44553004396678064}","{'J': 0.32763254336672365, 'F': 0.6723674566332764}",3.2,3.0
2,J,F,10.280092492888677,12.845970991226839,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.41866145578895947, 'F': 0.5813385442110406}",1.8,4.4
3,F,F,15.7380361671423,18.81596563577051,"{'J': 0.4766674810652333, 'F': 0.5233325189347666}","{'J': 0.4035173424523693, 'F': 0.5964826575476306}",1.8,3.4
4,J,F,21.671980001086133,25.21230263210751,"{'J': 0.566056166056166, 'F': 0.43394383394383396}","{'J': 0.5, 'F': 0.5}",4.6,1.8
5,J,F,27.52202076576164,31.660885832168844,"{'J': 0.5736623503542634, 'F': 0.4263376496457366}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",3.6,3.2
6,J,F,33.25524480692671,38.20647244357579,"{'J': 0.5888101636941119, 'F': 0.4111898363058881}","{'J': 0.47275836794527243, 'F': 0.5272416320547276}",3.4,2.0
7,J,F,39.04671587517389,44.98817072902307,"{'J': 0.6298558514537015, 'F': 0.37014414854629857}","{'J': 0.48839482042511606, 'F': 0.5116051795748839}",2.0,3.0
8,J,F,44.84840774455807,51.70439251293716,"{'J': 0.6188034188034188, 'F': 0.3811965811965812}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",3.4,2.4
9,J,F,50.63757630727748,58.35619141274716,"{'J': 0.6077186126038104, 'F': 0.39228138739618956}","{'J': 0.48448570730515517, 'F': 0.5155142926948448}",4.6,2.0
10,J,F,56.34502429539979,64.90477154016921,"{'J': 0.589010989010989, 'F': 0.41098901098901097}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",3.4,1.0
