round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,5.92333984375,5.92333984375,"{'J': 0.484375, 'F': 0.515625}","{'J': 0.484375, 'F': 0.515625}",3.4,3.2
2,J,F,11.256101965147167,12.174181395410967,"{'J': 0.52734375, 'F': 0.47265625}","{'J': 0.3961895456765999, 'F': 0.6038104543234001}",3.6,3.0
3,F,F,17.241117031520652,17.99669680111719,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.49206349206349204, 'F': 0.5079365079365079}",3.6,4.0
4,J,J,23.851973503930616,24.55523238700988,"{'J': 0.6002442002442002, 'F': 0.3997557997557998}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",3.8,4.0
5,F,F,29.59187476779963,29.927864120452753,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",2.0,4.4
6,J,J,35.828814358293286,36.05625047208808,"{'J': 0.5273704789833822, 'F': 0.4726295210166178}","{'J': 0.5428780845345712, 'F': 0.4571219154654288}",3.8,3.2
7,F,F,41.56745574342163,41.58211115581443,"{'J': 0.40362035225048926, 'F': 0.5963796477495108}","{'J': 0.4340175953079179, 'F': 0.5659824046920822}",2.0,3.4
8,J,J,47.76546469416341,47.6441830144272,"{'J': 0.5156402737047898, 'F': 0.4843597262952102}","{'J': 0.5350598582946494, 'F': 0.4649401417053506}",4.0,4.2
9,F,F,53.46330153428704,53.181657115176435,"{'J': 0.4035688095820093, 'F': 0.5964311904179908}","{'J': 0.4264777723497802, 'F': 0.5735222276502199}",2.6,1.2
10,F,J,59.79538563227561,59.077710562965706,"{'J': 0.4921798631476051, 'F': 0.5078201368523949}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",4.2,3.2
