round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,6.8898325870732435,7.225039037109891,"{'J': 0.6992426093330075, 'F': 0.3007573906669924}","{'J': 0.6513559736134864, 'F': 0.34864402638651354}",8.0,8.0
2,F,J,13.425333223175416,12.54213492603627,"{'J': 0.4072807231859272, 'F': 0.5927192768140728}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",8.0,8.4
3,J,J,20.367072760008643,19.7223435382926,"{'J': 0.692591681023874, 'F': 0.307408318976126}","{'J': 0.6585246702491451, 'F': 0.34147532975085493}",8.6,7.6
4,J,J,26.771923687980316,25.80346636977694,"{'J': 0.5235063663075417, 'F': 0.4764936336924584}","{'J': 0.5697532372343025, 'F': 0.4302467627656975}",8.0,7.6
5,F,J,33.106655435115584,31.67463614260328,"{'J': 0.48824681684622917, 'F': 0.5117531831537708}","{'J': 0.5544699560332194, 'F': 0.44553004396678064}",8.8,7.0
6,J,J,39.59797896151119,38.527636185422224,"{'J': 0.6442425730419838, 'F': 0.3557574269580162}","{'J': 0.5925744992672203, 'F': 0.40742550073277967}",8.2,6.6
7,J,J,45.844639401332785,44.99021155696038,"{'J': 0.5814067879980325, 'F': 0.41859321200196753}","{'J': 0.550561797752809, 'F': 0.449438202247191}",7.8,7.6
8,F,J,51.98880826265078,50.779505613630654,"{'J': 0.4687270051508462, 'F': 0.5312729948491538}","{'J': 0.5194234058148057, 'F': 0.4805765941851942}",7.8,8.0
9,J,J,58.69873781751426,57.954791544863724,"{'J': 0.6926089084679393, 'F': 0.3073910915320607}","{'J': 0.6261294261294261, 'F': 0.3738705738705739}",7.8,7.8
10,J,J,65.28237309815967,64.53984958259237,"{'J': 0.6040137053352912, 'F': 0.39598629466470875}","{'J': 0.6038104543234001, 'F': 0.3961895456765999}",7.2,8.8
