round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,6.632073466309858,4.777479775006382,"{'J': 0.32763254336672365, 'F': 0.6723674566332764}","{'J': 0.5925744992672203, 'F': 0.40742550073277967}",1.0,3.6
2,J,J,13.448221945275781,11.839902380529843,"{'J': 0.6757879306132422, 'F': 0.3242120693867579}","{'J': 0.6406059125335939, 'F': 0.35939408746640605}",3.0,4.4
3,F,J,19.611071805287594,17.2201474595683,"{'J': 0.3998044965786901, 'F': 0.6001955034213099}","{'J': 0.5116051795748839, 'F': 0.48839482042511606}",3.0,4.2
4,F,J,25.820088450647415,22.85718298831249,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",3.4,2.4
5,F,J,32.39807264351737,28.43227151089045,"{'J': 0.44930368922550695, 'F': 0.550696310774493}","{'J': 0.5925744992672203, 'F': 0.40742550073277967}",3.4,1.8
6,F,J,39.02531211524761,34.251601545332704,"{'J': 0.48839482042511606, 'F': 0.5116051795748839}","{'J': 0.6038104543234001, 'F': 0.3961895456765999}",3.4,3.2
7,F,J,45.67019140408499,39.76116085371088,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.6038104543234001, 'F': 0.3961895456765999}",2.8,3.6
8,F,J,52.278549208143815,45.2043964651927,"{'J': 0.43003663003663006, 'F': 0.5699633699633699}","{'J': 0.5964826575476306, 'F': 0.4035173424523693}",3.2,3.4
9,F,J,58.95760340329255,50.481398877244224,"{'J': 0.40742550073277967, 'F': 0.5925744992672203}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",1.8,3.2
10,F,J,65.50984471037256,55.842605770709184,"{'J': 0.4149560117302053, 'F': 0.5850439882697948}","{'J': 0.5851037851037851, 'F': 0.4148962148962149}",1.8,2.8
